ibgeID,id,lat,lon,longName
2602704,Buenos Aires/PE,-7.7218931,-35.326587,"Buenos Aires, Região Geográfica Imediata de Carpina, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2602803,Buíque/PE,-8.6239732,-37.157296,"Buíque, Região Geográfica Imediata de Arcoverde, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 56520-000, Brasil"
2602902,Cabo de Santo Agostinho/PE,-8.2838945,-35.0320984,"Cabo de Santo Agostinho, Região Geográgica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2603009,Cabrobó/PE,-8.5083701,-39.3106961,"Cabrobó, Região Geográfica Imediata de Petrolina, Região Geográfica Intermediária de Petrolina, Pernambuco, Região Nordeste, 56180-000, Brasil"
2603108,Cachoeirinha/PE,-8.4906364,-36.2338963,"Cachoeirinha, Região Geográfica Imediata de Caruaru, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55380-000, Brasil"
2603207,Caetés/PE,-8.7728788,-36.6255835,"Caetés, Região Geográfica Imediata de Garanhuns, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, Brasil"
2603306,Calçado/PE,-8.7413446,-36.3351787,"Calçado, Região Geográfica Imediata de Garanhuns, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55375-000, Brasil"
2603405,Calumbi/PE,-7.9389746,-38.1516871,"Calumbi, Microrregião de Pajeú, Região Geográfica Intermediária de Serra Talhada, Pernambuco, Região Nordeste, Brasil"
2603454,Camaragibe/PE,-8.0213832,-34.9810768,"Camaragibe, Região Geográgica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2603504,Camocim de São Félix/PE,-8.3616757,-35.7638903,"Camocim de São Félix, Região Geográfica Imediata de Caruaru, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, Brasil"
2603603,Camutanga/PE,-7.4092965,-35.2738166,"Camutanga, Região Geográfica Imediata de Goiana-Timbaúba, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55930-000, Brasil"
2603702,Canhotinho/PE,-8.876519,-36.197935,"Canhotinho, Região Geográfica Imediata de Garanhuns, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, Brasil"
2603801,Capoeiras/PE,-8.7386788,-36.6268109,"Capoeiras, Região Geográfica Imediata de Garanhuns, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, Brasil"
2603900,Carnaíba/PE,-7.805964,-37.7947314,"Carnaíba, Microrregião de Pajeú, Região Geográfica Intermediária de Serra Talhada, Pernambuco, Região Nordeste, Brasil"
2603926,Carnaubeira da Penha/PE,-8.3192809,-38.7435891,"Carnaubeira da Penha, Região Geográfica Imediata de Serra Talhada, Região Geográfica Intermediária de Serra Talhada, Pernambuco, Região Nordeste, Brasil"
2604007,Carpina/PE,-7.8459151,-35.2538861,"Carpina, Região Geográfica Imediata de Carpina, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2604106,Caruaru/PE,-8.2829702,-35.9722852,"Caruaru, Região Geográfica Imediata de Caruaru, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, Brasil"
2604155,Casinhas/PE,-7.744698,-35.7250923,"Casinhas, Região Geográfica Imediata de Surubim, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55755-000, Brasil"
2604205,Catende/PE,-8.6900588,-35.748470825,"Catende, Microrregião da Mata Meridional Pernambucana, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2604304,Cedro/PE,-7.7186318,-39.2363385,"Cedro, Região Geográfica Imediata de Salgueiro, Região Geográfica Intermediária de Petrolina, Pernambuco, Região Nordeste, Brasil"
2604403,Chã de Alegria/PE,-7.9959409,-35.2134636,"Chã de Alegria, Região Geográfica Imediata de Vitória de Santo Antão, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2604502,Chã Grande/PE,-8.238271,-35.457148,"Chã Grande, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, Brasil"
2604601,Condado/PE,-7.587868,-35.09994,"Condado, Região Geográfica Imediata de Goiana-Timbaúba, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55940-000, Brasil"
2604700,Correntes/PE,-9.1295585,-36.3287438,"Correntes, Região Geográfica Imediata de Garanhuns, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55315-000, Brasil"
2604809,Cortês/PE,-8.4724921,-35.5431197,"Cortês, Microrregião da Mata Meridional Pernambucana, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2604908,Cumaru/PE,-8.0065285,-35.6991651,"Cumaru, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55655-000, Brasil"
2605004,Cupira/PE,-8.6053148,-35.9530366,"Cupira, Região Geográfica Imediata de Caruaru, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55460-000, Brasil"
2605103,Custódia/PE,-8.0861426,-37.6401873,"Custódia, Região Geográfica Imediata de Arcoverde, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 56640-000, Brasil"
2605152,Dormentes/PE,-8.441163,-40.766168,"Dormentes, Região Geográfica Imediata de Petrolina, Região Geográfica Intermediária de Petrolina, Pernambuco, Região Nordeste, Brasil"
2605202,Escada/PE,-8.3594071,-35.2232683,"Escada, Região Geográfica Imediata de Escada-Ribeirão, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2605301,Exu/PE,-7.515434,-39.722015,"Exu, Região Geográfica Imediata de Araripina, Região Geográfica Intermediária de Petrolina, Pernambuco, Região Nordeste, Brasil"
2605400,Feira Nova/PE,-7.9481471,-35.3871681,"Feira Nova, Região Geográfica Imediata de Limoeiro, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55715-000, Brasil"
2605459,Fernando de Noronha/PE,-3.8561012,-32.4248189,"Fernando de Noronha, Região Geográgica Imediata do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 53990-000, Brasil"
2605509,Ferreiros/PE,-7.449667,-35.2426004,"Ferreiros, Região Geográfica Imediata de Goiana-Timbaúba, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55880-000, Brasil"
2605608,Flores/PE,-7.862025,-37.9742806,"Flores, Microrregião de Pajeú, Região Geográfica Intermediária de Serra Talhada, Pernambuco, Região Nordeste, Brasil"
2605707,Floresta/PE,-8.5998918,-38.5706775,"Floresta, Região Geográfica Imediata de Serra Talhada, Região Geográfica Intermediária de Serra Talhada, Pernambuco, Região Nordeste, 56400-000, Brasil"
2605806,Frei Miguelinho/PE,-7.9433019,-35.920939,"Frei Miguelinho, Região Geográfica Imediata de Surubim, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55780-000, Brasil"
2605905,Gameleira/PE,-8.579803,-35.384573,"Gameleira, Microrregião da Mata Meridional Pernambucana, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2606002,Garanhuns/PE,-8.8905889,-36.4930896,"Garanhuns, Região Geográfica Imediata de Garanhuns, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, Brasil"
