ibge,city,state,region,pop2019,pop2020,pop2021,isCountryside,cod_RegiaoDeSaude,name_RegiaoDeSaude,ibge_id
2606002,Garanhuns/PE,PE,Nordeste,139788,140577,141347,1,26004,Garanhuns,2606002
2606101,Glória do Goitá/PE,PE,Nordeste,30604,30751,30847,1,26010,Recife,2606101
2606200,Goiana/PE,PE,Nordeste,79758,80055,80345,0,26005,Goiana,2606200
2606309,Granito/PE,PE,Nordeste,7486,7537,7586,1,26007,Ouricuri,2606309
2606408,Gravatá/PE,PE,Nordeste,84074,84699,85309,1,26003,Caruaru,2606408
2606507,Iati/PE,PE,Nordeste,19197,19241,19284,1,26004,Garanhuns,2606507
2606606,Ibimirim/PE,PE,Nordeste,29235,29412,29585,1,26002,Arcoverde,2606606
2606705,Ibirajuba/PE,PE,Nordeste,7762,7768,7773,1,26003,Caruaru,2606705
2606804,Igarassu/PE,PE,Nordeste,117019,118370,119690,0,26010,Recife,2606804
2606903,Iguaracy/PE,PE,Nordeste,12228,12247,12265,1,26001,Afogados da Ingazeira,2606903
2607000,Inajá/PE,PE,Nordeste,23247,23645,24034,1,26002,Arcoverde,2607000
2607109,Ingazeira/PE,PE,Nordeste,4548,4543,4537,1,26001,Afogados da Ingazeira,2607109
2607208,Ipojuca/PE,PE,Nordeste,96204,97669,99101,0,26010,Recife,2607208
2607307,Ipubi/PE,PE,Nordeste,30854,31187,31515,1,26007,Ouricuri,2607307
2607406,Itacuruba/PE,PE,Nordeste,4918,4966,5013,1,26012,Serra Talhada,2607406
2607505,Itaíba/PE,PE,Nordeste,26349,26308,26268,1,26004,Garanhuns,2607505
2607604,Ilha de Itamaracá/PE,PE,Nordeste,26258,26672,27076,0,26010,Recife,2607604
2607653,Itambé/PE,PE,Nordeste,36447,36471,36495,1,26005,Goiana,2607653
2607703,Itapetim/PE,PE,Nordeste,13616,13553,13492,1,26001,Afogados da Ingazeira,2607703
2607752,Itapissuma/PE,PE,Nordeste,26651,26900,27144,0,26010,Recife,2607752
2607802,Itaquitinga/PE,PE,Nordeste,16955,17006,17056,1,26005,Goiana,2607802
2607901,Jaboatão dos Guararapes/PE,PE,Nordeste,702298,706867,711330,0,26010,Recife,2607901
2607950,Jaqueira/PE,PE,Nordeste,11656,11644,11632,1,26008,Palmares,2607950
2608008,Jataúba/PE,PE,Nordeste,17150,17228,17305,1,26003,Caruaru,2608008
2608057,Jatobá/PE,PE,Nordeste,14796,14850,14904,1,26002,Arcoverde,2608057
2608107,João Alfredo/PE,PE,Nordeste,33822,33328,33570,1,26006,Limoeiro,2608107
2608206,Joaquim Nabuco/PE,PE,Nordeste,16023,16011,15999,1,26008,Palmares,2608206
2608255,Jucati/PE,PE,Nordeste,11424,11485,11545,1,26004,Garanhuns,2608255
2608305,Jupi/PE,PE,Nordeste,14836,14922,15007,1,26004,Garanhuns,2608305
2608404,Jurema/PE,PE,Nordeste,15378,15431,15483,1,26003,Caruaru,2608404
