type,name,lat,lon,total,total_per_100k_inhabitants
D1,Agrolândia/SC,-27.4122212,-49.8295774,30,268.81720
1,Agronômica/SC,-27.2660744,-49.7104753,777,13949.73070
D1,Agronômica/SC,-27.2660744,-49.7104753,14,251.34650
1,Aguanil/MG,-20.9424533,-45.3927152,775,17006.80272
D1,Aguanil/MG,-20.9424533,-45.3927152,8,175.55409
1,Aguaí/SP,-22.0592036,-46.979384,3652,9875.34139
D1,Aguaí/SP,-22.0592036,-46.979384,113,305.56232
1,Agudo/RS,-29.6423259,-53.2494005,2097,12830.39648
D1,Agudo/RS,-29.6423259,-53.2494005,32,195.79050
1,Agudos do Sul/PR,-25.9890808,-49.3328175,1020,10661.64942
D1,Agudos do Sul/PR,-25.9890808,-49.3328175,33,344.93572
1,Agudos/SP,-22.471162,-48.987822,4797,12764.08919
D1,Agudos/SP,-22.471162,-48.987822,111,295.35416
1,Aguiar/PB,-7.0928404,-38.1727215,549,9765.20811
D1,Aguiar/PB,-7.0928404,-38.1727215,5,88.93632
1,Aguiarnópolis/TO,-6.5600452,-47.4721189,727,10313.51965
D1,Aguiarnópolis/TO,-6.5600452,-47.4721189,14,198.60973
1,Aimorés/MG,-19.4917754,-41.0615603,2269,9034.08186
D1,Aimorés/MG,-19.4917754,-41.0615603,80,318.52206
1,Aiquara/BA,-14.126918,-39.8887574,513,11693.64030
D1,Aiquara/BA,-14.126918,-39.8887574,12,273.53545
1,Aiuaba/CE,-6.5710836,-40.1212278,868,4936.30573
D1,Aiuaba/CE,-6.5710836,-40.1212278,11,62.55687
1,Aiuruoca/MG,-21.9759554,-44.6036637,475,7984.53522
D1,Aiuruoca/MG,-21.9759554,-44.6036637,10,168.09548
1,Ajuricaba/RS,-28.239654,-53.7693013,1601,23032.65717
D1,Ajuricaba/RS,-28.239654,-53.7693013,33,474.75183
1,Alagoa Grande/PB,-7.0415212,-35.6285322,4376,15417.13641
D1,Alagoa Grande/PB,-7.0415212,-35.6285322,72,253.66404
1,Alagoa Nova/PB,-7.0653703,-35.76695977336711,1936,9222.56098
D1,Alagoa Nova/PB,-7.0653703,-35.76695977336711,34,161.96646
1,Alagoa/MG,-22.1697202,-44.6400042,487,18328.94242
D1,Alagoa/MG,-22.1697202,-44.6400042,8,301.09146
1,Alagoinha do Piauí/PI,-7.0090952,-40.939675,397,5170.61735
D1,Alagoinha do Piauí/PI,-7.0090952,-40.939675,13,169.31493
1,Alagoinha/PB,-6.97063215,-35.51490901897793,2153,14717.34227
D1,Alagoinha/PB,-6.97063215,-35.51490901897793,25,170.89343
1,Alagoinha/PE,-8.50355635,-36.77701174370496,1481,10008.10920
D1,Alagoinha/PE,-8.50355635,-36.77701174370496,29,195.97243
1,Alagoinhas/BA,-12.133526,-38.420772,14731,9626.65743
