type,name,lat,lon,total,total_per_100k_inhabitants
1,Crato/CE,-7.2369112,-39.4149236,17988,13432.60176
D1,Crato/CE,-7.2369112,-39.4149236,234,174.74032
1,Cravinhos/SP,-21.340278,-47.729444,2214,6174.35440
D1,Cravinhos/SP,-21.340278,-47.729444,98,273.30024
1,Cravolândia/BA,-13.3576247,-39.8153954,468,8744.39462
D1,Cravolândia/BA,-13.3576247,-39.8153954,2,37.36921
1,Craíbas/AL,-9.6168038,-36.7684669,1415,5800.13117
D1,Craíbas/AL,-9.6168038,-36.7684669,30,122.97098
1,Criciúma/SC,-28.6789941,-49.3695627,42993,19596.34081
D1,Criciúma/SC,-28.6789941,-49.3695627,671,305.84385
1,Crissiumal/RS,-27.4982242,-54.1024643,1368,10309.74452
D1,Crissiumal/RS,-27.4982242,-54.1024643,23,173.33635
1,Cristais Paulista/SP,-20.403569,-47.420915,1295,14710.89401
D1,Cristais Paulista/SP,-20.403569,-47.420915,17,193.11598
1,Cristais/MG,-20.875834,-45.518611,1770,13552.83308
D1,Cristais/MG,-20.875834,-45.518611,30,229.70904
1,Cristal do Sul/RS,-27.454386,-53.2482974,370,13028.16901
D1,Cristal do Sul/RS,-27.454386,-53.2482974,2,70.42254
1,Cristal/RS,-30.089507,-51.2394761,995,12252.18569
D1,Cristal/RS,-30.089507,-51.2394761,21,258.58884
1,Cristalina/GO,-16.7676079,-47.6131281,4937,8042.68144
D1,Cristalina/GO,-16.7676079,-47.6131281,117,190.60031
1,Cristalândia do Piauí/PI,-10.6525894,-45.1847405,70,838.32335
D1,Cristalândia do Piauí/PI,-10.6525894,-45.1847405,4,47.90419
1,Cristalândia/TO,-10.59848,-49.194202,593,8159.05338
D1,Cristalândia/TO,-10.59848,-49.194202,17,233.90204
1,Cristiano Otoni/MG,-20.8324096,-43.8053057,503,9746.17322
D1,Cristiano Otoni/MG,-20.8324096,-43.8053057,18,348.76962
1,Cristianópolis/GO,-17.2010889,-48.7060055,355,11985.14517
D1,Cristianópolis/GO,-17.2010889,-48.7060055,3,101.28292
1,Cristina/MG,-22.212222,-45.264167,939,9195.96514
D1,Cristina/MG,-22.212222,-45.264167,9,88.14024
1,Cristino Castro/PI,-8.8163934,-44.2211062,942,9002.29358
D1,Cristino Castro/PI,-8.8163934,-44.2211062,13,124.23547
1,Cristinápolis/SE,-11.4757019,-37.7555212,618,3399.15296
D1,Cristinápolis/SE,-11.4757019,-37.7555212,30,165.00743
1,Cristália/MG,-16.7179933,-42.8648107,436,7276.36849
D1,Cristália/MG,-16.7179933,-42.8648107,3,50.06676
1,Cristópolis/BA,-12.2349301,-44.4160811,1052,7524.49753
D1,Cristópolis/BA,-12.2349301,-44.4160811,10,71.52564
1,Crisólita/MG,-17.2391664,-40.9132444,266,3903.72762
D1,Crisólita/MG,-17.2391664,-40.9132444,3,44.02700
1,Crisópolis/BA,-11.5105813,-38.1506278,451,2125.45360
D1,Crisópolis/BA,-11.5105813,-38.1506278,16,75.40412
1,Crixás do Tocantins/TO,-11.1039404,-48.918827,226,12921.66953
1,Crixás/GO,-14.5424536,-49.9694813,2661,15528.71148
D1,Crixás/GO,-14.5424536,-49.9694813,67,390.98973
1,Croatá/CE,-4.4156199,-40.9048081,1492,8197.35179
D1,Croatá/CE,-4.4156199,-40.9048081,17,93.40146
1,Cromínia/GO,-17.2891983,-49.3749654,497,14372.46964
D1,Cromínia/GO,-17.2891983,-49.3749654,9,260.26605
1,Crucilândia/MG,-20.3985647,-44.3429275,609,12007.09779
D1,Crucilândia/MG,-20.3985647,-44.3429275,8,157.72871
1,Cruz Alta/RS,-28.645056,-53.6058047,10348,17373.78486
D1,Cruz Alta/RS,-28.645056,-53.6058047,232,389.51663
1,Cruz Machado/PR,-26.0184626,-51.3503171,1444,7692.30769
D1,Cruz Machado/PR,-26.0184626,-51.3503171,27,143.83124
1,Cruz das Almas/BA,-12.6722649,-39.1053665,5666,8863.78925
D1,Cruz das Almas/BA,-12.6722649,-39.1053665,69,107.94237
1,Cruz do Espírito Santo/PB,-7.139022,-35.085721,1201,6824.25138
D1,Cruz do Espírito Santo/PB,-7.139022,-35.085721,28,159.09995
1,Cruz/CE,-2.918128,-40.175981,3970,15803.51101
D1,Cruz/CE,-2.918128,-40.175981,59,234.86326
1,Cruzaltense/RS,-27.667414,-52.6487833,205,11614.73088
D1,Cruzaltense/RS,-27.667414,-52.6487833,6,339.94334
1,Cruzeiro da Fortaleza/MG,-18.9461873,-46.6738005,519,14215.28348
D1,Cruzeiro da Fortaleza/MG,-18.9461873,-46.6738005,7,191.72829
1,Cruzeiro do Iguaçu/PR,-25.6142278,-53.1299075,609,14400.56751
D1,Cruzeiro do Iguaçu/PR,-25.6142278,-53.1299075,14,331.04753
1,Cruzeiro do Oeste/PR,-23.7839582,-53.0709425,3361,16033.77540
D1,Cruzeiro do Oeste/PR,-23.7839582,-53.0709425,88,419.80727
1,Cruzeiro do Sul/AC,-7.6307956,-72.6703869,7958,8865.86453
D1,Cruzeiro do Sul/AC,-7.6307956,-72.6703869,169,188.27986
1,Cruzeiro do Sul/PR,-22.9623678,-52.1625688,636,14356.65914
D1,Cruzeiro do Sul/PR,-22.9623678,-52.1625688,12,270.88036
1,Cruzeiro do Sul/RS,-29.5139742,-51.9917068,1399,11230.63338
D1,Cruzeiro do Sul/RS,-29.5139742,-51.9917068,41,329.13221
1,Cruzeiro/SP,-22.5783685,-44.9642044,6758,8152.48206
D1,Cruzeiro/SP,-22.5783685,-44.9642044,104,125.45992
1,Cruzeta/RN,-6.4113343,-36.7872964,1221,15323.79518
D1,Cruzeta/RN,-6.4113343,-36.7872964,14,175.70281
1,Cruzmaltina/PR,-23.9930826,-51.4435583,422,14591.97787
D1,Cruzmaltina/PR,-23.9930826,-51.4435583,7,242.04703
1,Cruzália/SP,-22.7434438,-50.7911037,199,9846.61059
D1,Cruzália/SP,-22.7434438,-50.7911037,6,296.88273
1,Cruzília/MG,-21.838333,-44.808056,1760,11333.63385
D1,Cruzília/MG,-21.838333,-44.808056,42,270.46172
1,Cubati/PB,-6.8647974,-36.3525993,640,8136.28274
D1,Cubati/PB,-6.8647974,-36.3525993,15,190.69413
1,Cubatão/SP,-23.8857982,-46.4241869,13724,10356.09451
D1,Cubatão/SP,-23.8857982,-46.4241869,510,384.84467
1,Cuiabá/MT,-15.5986686,-56.0991301,116406,18666.35451
D1,Cuiabá/MT,-15.5986686,-56.0991301,3563,571.34702
1,Cuitegi/PB,-6.8962776,-35.5228851,990,14671.01363
D1,Cuitegi/PB,-6.8962776,-35.5228851,25,370.48014
1,Cuité de Mamanguape/PB,-6.912922,-35.250219,332,5220.12579
D1,Cuité de Mamanguape/PB,-6.912922,-35.250219,16,251.57233
1,Cuité/PB,-6.4855072,-36.1478606,2012,9896.21760
D1,Cuité/PB,-6.4855072,-36.1478606,25,122.96493
1,Cujubim/RO,-9.3687919,-62.5832107,2680,9877.99934
D1,Cujubim/RO,-9.3687919,-62.5832107,43,158.49029
1,Cumari/GO,-18.2644369,-48.1511341,375,13297.87234
D1,Cumari/GO,-18.2644369,-48.1511341,12,425.53191
1,Cumaru do Norte/PA,-7.8122669,-50.7677675,1095,7796.92395
D1,Cumaru do Norte/PA,-7.8122669,-50.7677675,12,85.44574
1,Cumaru/PE,-8.0065285,-35.6991651,670,7057.08869
D1,Cumaru/PE,-8.0065285,-35.6991651,22,231.72530
1,Cumbe/SE,-10.3552462,-37.1828788,303,7559.88024
D1,Cumbe/SE,-10.3552462,-37.1828788,4,99.80040
1,Cunha Porã/SC,-26.8927163,-53.1716516,1444,12950.67265
D1,Cunha Porã/SC,-26.8927163,-53.1716516,27,242.15247
1,Cunha/SP,-23.07753,-44.9567436,981,4589.90315
D1,Cunha/SP,-23.07753,-44.9567436,15,70.18201
1,Cunhataí/SC,-26.9735014,-53.0914014,199,10091.27789
D1,Cunhataí/SC,-26.9735014,-53.0914014,2,101.41988
1,Cuparaque/MG,-18.9697,-41.0986,592,11778.75050
D1,Cuparaque/MG,-18.9697,-41.0986,9,179.06884
1,Cupira/PE,-8.6053148,-35.9530366,2538,10471.59302
D1,Cupira/PE,-8.6053148,-35.9530366,52,214.54801
1,Curaçá/BA,-8.9925655,-39.9053169,1487,4240.69585
D1,Curaçá/BA,-8.9925655,-39.9053169,35,99.81463
1,Curimatá/PI,-10.0349005,-44.3033114,1209,10548.81773
D1,Curimatá/PI,-10.0349005,-44.3033114,17,148.32912
1,Curionópolis/PA,-6.0990443,-49.6059039,2526,14219.77032
D1,Curionópolis/PA,-6.0990443,-49.6059039,37,208.28642
1,Curitiba/PR,-25.4295963,-49.2712724,228757,11649.13028
D1,Curitiba/PR,-25.4295963,-49.2712724,7872,400.87059
1,Curitibanos/SC,-27.2917869,-50.5768954,6347,15852.83613
D1,Curitibanos/SC,-27.2917869,-50.5768954,199,497.04024
1,Curiúva/PR,-24.0383013,-50.455484,1507,9856.75976
D1,Curiúva/PR,-24.0383013,-50.455484,35,228.92275
1,Currais Novos/RN,-6.2626676,-36.5173039,4571,10152.81418
D1,Currais Novos/RN,-6.2626676,-36.5173039,93,206.56568
1,Currais/PI,-9.0146796,-44.3999284,386,7747.89241
D1,Currais/PI,-9.0146796,-44.3999284,3,60.21678
1,Curral Novo do Piauí/PI,-7.8316503,-40.9006904,309,5732.83859
D1,Curral Novo do Piauí/PI,-7.8316503,-40.9006904,2,37.10575
1,Curral Velho/PB,-7.5376473,-38.1979125,471,18779.90431
D1,Curral Velho/PB,-7.5376473,-38.1979125,1,39.87241
1,Curral de Cima/PB,-6.7174163,-35.266704,558,10712.22883
D1,Curral de Cima/PB,-6.7174163,-35.266704,4,76.79017
1,Curral de Dentro/MG,-15.9332656,-41.8568896,678,8618.27889
D1,Curral de Dentro/MG,-15.9332656,-41.8568896,14,177.95856
1,Curralinho/PA,-1.8137876,-49.7980165,574,1615.53617
D1,Curralinho/PA,-1.8137876,-49.7980165,35,98.50830
1,Curralinhos/PI,-5.6190404,-42.8280018,503,11240.22346
D1,Curralinhos/PI,-5.6190404,-42.8280018,2,44.69274
1,Cururupu/MA,-1.824255,-44.872996,2260,6941.24512
D1,Cururupu/MA,-1.824255,-44.872996,28,85.99773
1,Curuá/PA,-1.887754,-55.116842,2135,14449.10666
D1,Curuá/PA,-1.887754,-55.116842,24,162.42555
1,Curuçá/PA,-0.7276792,-47.856568,2294,5582.45930
D1,Curuçá/PA,-0.7276792,-47.856568,83,201.98087
1,Curvelo/MG,-18.7571926,-44.4305993,5587,6890.30030
D1,Curvelo/MG,-18.7571926,-44.4305993,274,337.91700
1,Curvelândia/MT,-15.6108629,-57.9188924,815,15473.70420
D1,Curvelândia/MT,-15.6108629,-57.9188924,19,360.73666
1,Custódia/PE,-8.0861426,-37.6401873,997,2649.27059
D1,Custódia/PE,-8.0861426,-37.6401873,66,175.37799
1,Cutias/AP,0.9708625,-50.8000608,874,14058.22744
D1,Cutias/AP,0.9708625,-50.8000608,7,112.59450
1,Cáceres/MT,-16.0658939,-57.6852775,13009,13644.99313
D1,Cáceres/MT,-16.0658939,-57.6852775,446,467.80436
1,Cássia dos Coqueiros/SP,-21.280082,-47.164327,253,10168.81029
D1,Cássia dos Coqueiros/SP,-21.280082,-47.164327,1,40.19293
1,Cássia/MG,-20.5796525,-46.9262786,2154,12141.36745
D1,Cássia/MG,-20.5796525,-46.9262786,58,326.92633
1,Cândido Godói/RS,-27.951509,-54.751722,852,13953.48837
D1,Cândido Godói/RS,-27.951509,-54.751722,5,81.88667
1,Cândido Mendes/MA,-1.4531117,-45.7273136,114,559.48174
D1,Cândido Mendes/MA,-1.4531117,-45.7273136,8,39.26188
1,Cândido Mota/SP,-22.7434964,-50.38924,4887,15558.73926
D1,Cândido Mota/SP,-22.7434964,-50.38924,166,528.49411
1,Cândido Rodrigues/SP,-21.3255615,-48.6308798,143,5098.03922
D1,Cândido Rodrigues/SP,-21.3255615,-48.6308798,7,249.55437
1,Cândido Sales/BA,-15.5037649,-41.2391141,2160,8667.38895
D1,Cândido Sales/BA,-15.5037649,-41.2391141,56,224.71008
1,Cândido de Abreu/PR,-24.5747463,-51.3432207,1795,12289.47008
D1,Cândido de Abreu/PR,-24.5747463,-51.3432207,20,136.93003
1,Céu Azul/PR,-25.1484973,-53.8494214,1736,14622.64151
D1,Céu Azul/PR,-25.1484973,-53.8494214,35,294.81132
1,Cícero Dantas/BA,-10.5932265,-38.3834411,2430,7445.76541
D1,Cícero Dantas/BA,-10.5932265,-38.3834411,48,147.07685
1,Córrego Danta/MG,-19.823889,-45.904167,269,8491.16162
D1,Córrego Danta/MG,-19.823889,-45.904167,7,220.95960
1,Córrego Fundo/MG,-20.4490405,-45.5558238,887,13805.44747
D1,Córrego Fundo/MG,-20.4490405,-45.5558238,8,124.51362
1,Córrego Novo/MG,-19.832223,-42.395833,372,13839.28571
D1,Córrego Novo/MG,-19.832223,-42.395833,13,483.63095
1,Córrego do Bom Jesus/MG,-22.630556,-46.019723,588,15956.58073
D1,Córrego do Bom Jesus/MG,-22.630556,-46.019723,8,217.09634
1,Córrego do Ouro/GO,-16.2960629,-50.5512216,480,21295.47471
D1,Córrego do Ouro/GO,-16.2960629,-50.5512216,7,310.55901
1,Cônego Marinho/MG,-15.2974056,-44.4140513,161,2082.79431
D1,Cônego Marinho/MG,-15.2974056,-44.4140513,2,25.87322
1,Damianópolis/GO,-14.5603809,-46.1780241,228,6904.90612
D1,Damianópolis/GO,-14.5603809,-46.1780241,7,211.99273
1,Damião/PB,-6.64317595,-35.933835193092264,504,9317.80366
D1,Damião/PB,-6.64317595,-35.933835193092264,4,73.95082
1,Damolândia/GO,-16.2548322,-49.3675277,386,13111.41304
D1,Damolândia/GO,-16.2548322,-49.3675277,15,509.51087
1,Darcinópolis/TO,-6.7085964,-47.7524283,800,12800.00000
D1,Darcinópolis/TO,-6.7085964,-47.7524283,13,208.00000
1,Datas/MG,-18.4459187,-43.6584287,730,13441.35518
D1,Datas/MG,-18.4459187,-43.6584287,13,239.36660
1,David Canabarro/RS,-28.3878667,-51.8472645,864,18258.66441
D1,David Canabarro/RS,-28.3878667,-51.8472645,15,316.99070
1,Davinópolis/GO,-18.1536888,-47.5624052,168,8022.92264
D1,Davinópolis/GO,-18.1536888,-47.5624052,7,334.28844
1,Davinópolis/MA,-5.5265775,-47.3942217,643,4975.62485
D1,Davinópolis/MA,-5.5265775,-47.3942217,32,247.62052
1,Delfim Moreira/MG,-22.5086783,-45.2792398,561,7006.36943
D1,Delfim Moreira/MG,-22.5086783,-45.2792398,24,299.73773
1,Delfinópolis/MG,-20.344749,-46.8546425,926,12958.29835
D1,Delfinópolis/MG,-20.344749,-46.8546425,12,167.92611
1,Delmiro Gouveia/AL,-9.3841161,-37.997756,4370,8323.65098
D1,Delmiro Gouveia/AL,-9.3841161,-37.997756,135,257.13796
1,Delta/MG,-19.9769,-47.7711,1850,16827.36038
D1,Delta/MG,-19.9769,-47.7711,30,272.87611
1,Demerval Lobão/PI,-5.3640643,-42.673993,3561,25688.93378
D1,Demerval Lobão/PI,-5.3640643,-42.673993,35,252.48882
1,Denise/MT,-14.7252735,-57.0480299,753,7822.56389
D1,Denise/MT,-14.7252735,-57.0480299,18,186.99356
1,Deodápolis/MS,-22.276272,-54.168163,2016,15456.56674
D1,Deodápolis/MS,-22.276272,-54.168163,43,329.67875
1,Deputado Irapuan Pinheiro/CE,-5.9173532,-39.2672104,954,9837.07981
D1,Deputado Irapuan Pinheiro/CE,-5.9173532,-39.2672104,13,134.04826
1,Derrubadas/RS,-27.2657279,-53.8618488,412,15158.20456
D1,Derrubadas/RS,-27.2657279,-53.8618488,6,220.75055
1,Descalvado/SP,-21.9090404,-47.6203241,4357,12778.25029
D1,Descalvado/SP,-21.9090404,-47.6203241,86,252.22160
1,Descanso/SC,-26.8246854,-53.5017586,1205,14810.71780
D1,Descanso/SC,-26.8246854,-53.5017586,19,233.52999
1,Descoberto/MG,-21.459444,-42.967223,361,7157.01824
D1,Descoberto/MG,-21.459444,-42.967223,11,218.08089
1,Desterro de Entre Rios/MG,-20.66,-44.332223,748,10294.52243
D1,Desterro de Entre Rios/MG,-20.66,-44.332223,10,137.62731
1,Desterro do Melo/MG,-21.136000000000003,-43.535538011695905,242,8440.87897
1,Desterro/PB,-7.2889695,-37.0880761,774,9289.48632
D1,Desterro/PB,-7.2889695,-37.0880761,12,144.02304
1,Dezesseis de Novembro/RS,-28.2248993,-55.0480474,196,8408.40841
D1,Dezesseis de Novembro/RS,-28.2248993,-55.0480474,4,171.60017
1,Diadema/SP,-23.681347,-46.62052,26835,6247.23548
D1,Diadema/SP,-23.681347,-46.62052,1461,340.12338
1,Diamante D'Oeste/PR,-24.9446989,-54.1028594,697,13203.25819
D1,Diamante D'Oeste/PR,-24.9446989,-54.1028594,20,378.85963
1,Diamante do Norte/PR,-22.6565442,-52.8589113,432,8683.41709
D1,Diamante do Norte/PR,-22.6565442,-52.8589113,16,321.60804
1,Diamante do Sul/PR,-25.0436147,-52.6800923,588,17248.45996
D1,Diamante do Sul/PR,-25.0436147,-52.6800923,17,498.67996
1,Diamante/PB,-7.4261827,-38.2646879,815,12526.89825
D1,Diamante/PB,-7.4261827,-38.2646879,11,169.07470
1,Diamantina/MG,-18.2440862,-43.6006487,6033,12588.68208
D1,Diamantina/MG,-18.2440862,-43.6006487,99,206.57708
1,Diamantino/MT,-14.4036262,-56.4364488,3212,14396.48604
D1,Diamantino/MT,-14.4036262,-56.4364488,63,282.37192
1,Dianópolis/TO,-11.624008,-46.819787,2144,9443.26991
D1,Dianópolis/TO,-11.624008,-46.819787,41,180.58492
1,Dias d'Ávila/BA,-12.6107233,-38.3028518,6012,7182.36664
D1,Dias d'Ávila/BA,-12.6107233,-38.3028518,165,197.12084
1,Dilermando de Aguiar/RS,-29.7049966,-54.2078988,210,7021.06319
D1,Dilermando de Aguiar/RS,-29.7049966,-54.2078988,5,167.16817
1,Diogo de Vasconcelos/MG,-20.4868723,-43.1984645,192,5080.70918
D1,Diogo de Vasconcelos/MG,-20.4868723,-43.1984645,1,26.46203
1,Dionísio Cerqueira/SC,-26.2604681,-53.6346379,2162,13866.08517
D1,Dionísio Cerqueira/SC,-26.2604681,-53.6346379,52,333.50436
1,Dionísio/MG,-19.841944,-42.776945,389,5191.51208
D1,Dionísio/MG,-19.841944,-42.776945,17,226.87842
1,Diorama/GO,-16.2359735,-51.2578729,237,9568.02584
D1,Diorama/GO,-16.2359735,-51.2578729,6,242.22850
1,Dirce Reis/SP,-20.4664067,-50.606276,196,10858.72576
D1,Dirce Reis/SP,-20.4664067,-50.606276,5,277.00831
1,Dirceu Arcoverde/PI,-9.3413101,-42.4362055,219,3108.14647
D1,Dirceu Arcoverde/PI,-9.3413101,-42.4362055,8,113.53960
1,Divina Pastora/SE,-10.6783231,-37.1482727,865,16351.60681
D1,Divina Pastora/SE,-10.6783231,-37.1482727,12,226.84310
1,Divino das Laranjeiras/MG,-18.7775,-41.479167,374,7526.66533
D1,Divino das Laranjeiras/MG,-18.7775,-41.479167,14,281.74683
1,Divino de São Lourenço/ES,-20.6201409,-41.6834749,508,11992.44570
D1,Divino de São Lourenço/ES,-20.6201409,-41.6834749,14,330.50047
1,Divino/MG,-20.6151497,-42.1474733,1886,9420.57942
D1,Divino/MG,-20.6151497,-42.1474733,41,204.79520
1,Divinolândia de Minas/MG,-18.8021453,-42.6153788,424,5538.86349
D1,Divinolândia de Minas/MG,-18.8021453,-42.6153788,13,169.82364
1,Divinolândia/SP,-21.6604584,-46.7371151,1385,12560.07980
D1,Divinolândia/SP,-21.6604584,-46.7371151,48,435.29518
1,Divinésia/MG,-20.990277,-43.003889,476,13877.55102
D1,Divinésia/MG,-20.990277,-43.003889,8,233.23615
1,Divinópolis de Goiás/GO,-13.2905914,-46.3950744,483,10274.40970
D1,Divinópolis de Goiás/GO,-13.2905914,-46.3950744,12,255.26484
1,Divinópolis do Tocantins/TO,-9.8015722,-49.2143531,937,13412.53936
D1,Divinópolis do Tocantins/TO,-9.8015722,-49.2143531,11,157.45777
1,Divinópolis/MG,-20.1434559,-44.89125,22584,9312.79767
D1,Divinópolis/MG,-20.1434559,-44.89125,661,272.57170
1,Divisa Alegre/MG,-15.7207751,-41.3442809,573,8249.35215
D1,Divisa Alegre/MG,-15.7207751,-41.3442809,10,143.96775
1,Divisa Nova/MG,-21.5126801,-46.1926626,548,9074.35006
D1,Divisa Nova/MG,-21.5126801,-46.1926626,13,215.26743
1,Divisópolis/MG,-15.7216545,-41.0032019,780,6844.50684
D1,Divisópolis/MG,-15.7216545,-41.0032019,7,61.42506
1,Dobrada/SP,-21.5180904,-48.3938897,617,6789.17254
D1,Dobrada/SP,-21.5180904,-48.3938897,10,110.03521
1,Dois Córregos/SP,-22.3697554,-48.3845315,1843,6652.46896
D1,Dois Córregos/SP,-22.3697554,-48.3845315,43,155.21224
1,Dois Irmãos das Missões/RS,-27.6598825,-53.5330891,258,12951.80723
D1,Dois Irmãos das Missões/RS,-27.6598825,-53.5330891,5,251.00402
1,Dois Irmãos do Buriti/MS,-20.6906107,-55.2760274,1153,9985.27756
D1,Dois Irmãos do Buriti/MS,-20.6906107,-55.2760274,29,251.14748
1,Dois Irmãos do Tocantins/TO,-9.2539897,-49.0665558,856,11933.64004
D1,Dois Irmãos do Tocantins/TO,-9.2539897,-49.0665558,20,278.82337
1,Dois Irmãos/RS,-29.58356,-51.089776,5201,15503.62178
D1,Dois Irmãos/RS,-29.58356,-51.089776,79,235.49051
1,Dois Lajeados/RS,-28.984916,-51.8366385,523,15337.24340
D1,Dois Lajeados/RS,-28.984916,-51.8366385,5,146.62757
1,Dois Riachos/AL,-9.384645,-37.096502,639,5778.09929
D1,Dois Riachos/AL,-9.384645,-37.096502,8,72.33927
1,Dois Vizinhos/PR,-25.7464681,-53.0554369,8077,19498.35844
D1,Dois Vizinhos/PR,-25.7464681,-53.0554369,99,238.99189
1,Dolcinópolis/SP,-20.1230736,-50.513261,256,12144.21252
D1,Dolcinópolis/SP,-20.1230736,-50.513261,7,332.06831
1,Dom Aquino/MT,-15.809899,-54.922298,871,10770.37220
D1,Dom Aquino/MT,-15.809899,-54.922298,25,309.13812
1,Dom Basílio/BA,-13.7589818,-41.7715676,1113,9062.77990
D1,Dom Basílio/BA,-13.7589818,-41.7715676,16,130.28255
1,Dom Bosco/MG,-16.6516044,-46.2677917,370,10178.81706
D1,Dom Bosco/MG,-16.6516044,-46.2677917,9,247.59285
1,Dom Cavati/MG,-19.3744152,-42.1067301,655,13034.82587
D1,Dom Cavati/MG,-19.3744152,-42.1067301,23,457.71144
1,Dom Eliseu/PA,-4.2928111,-47.5559083,2398,3917.91654
D1,Dom Eliseu/PA,-4.2928111,-47.5559083,58,94.76195
1,Dom Expedito Lopes/PI,-6.9644926,-41.648155,625,9005.76369
D1,Dom Expedito Lopes/PI,-6.9644926,-41.648155,12,172.91066
1,Dom Feliciano/RS,-30.70214,-52.1080845,1077,6923.37362
D1,Dom Feliciano/RS,-30.70214,-52.1080845,26,167.13808
1,Dom Inocêncio/PI,-9.0009167,-41.974038,320,3342.38563
D1,Dom Inocêncio/PI,-9.0009167,-41.974038,6,62.66973
1,Dom Joaquim/MG,-18.967137,-43.2552141,685,15441.83950
D1,Dom Joaquim/MG,-18.967137,-43.2552141,7,157.79982
1,Dom Macedo Costa/BA,-12.907806,-39.1905875,393,9651.27701
D1,Dom Macedo Costa/BA,-12.907806,-39.1905875,7,171.90570
1,Dom Pedrito/RS,-30.983755,-54.6746483,4915,12859.08639
D1,Dom Pedrito/RS,-30.983755,-54.6746483,103,269.47831
1,Dom Pedro de Alcântara/RS,-29.3698329,-49.8479971,369,14642.85714
D1,Dom Pedro de Alcântara/RS,-29.3698329,-49.8479971,8,317.46032
1,Dom Pedro/MA,-5.0389999,-44.4377854,1652,7061.94161
D1,Dom Pedro/MA,-5.0389999,-44.4377854,37,158.16697
1,Dom Silvério/MG,-20.1631352,-42.9666824,531,10158.79089
D1,Dom Silvério/MG,-20.1631352,-42.9666824,16,306.10293
1,Dom Viçoso/MG,-22.2534164,-45.1603324,409,13669.78610
D1,Dom Viçoso/MG,-22.2534164,-45.1603324,6,200.53476
1,Domingos Martins/ES,-20.3646483,-40.6585797,5453,15981.82884
D1,Domingos Martins/ES,-20.3646483,-40.6585797,82,240.32825
1,Domingos Mourão/PI,-4.2544732,-41.2722903,249,5721.50735
D1,Domingos Mourão/PI,-4.2544732,-41.2722903,4,91.91176
1,Dona Emma/SC,-26.9849398,-49.7265136,567,13423.29545
D1,Dona Emma/SC,-26.9849398,-49.7265136,5,118.37121
1,Dona Euzébia/MG,-21.316667,-42.810556,1259,18892.55702
D1,Dona Euzébia/MG,-21.316667,-42.810556,17,255.10204
1,Dona Francisca/RS,-29.623063,-53.3560585,141,4766.73428
D1,Dona Francisca/RS,-29.623063,-53.3560585,7,236.64638
1,Dona Inês/PB,-6.6032239,-35.627146,757,7296.38554
D1,Dona Inês/PB,-6.6032239,-35.627146,21,202.40964
1,Dores de Campos/MG,-21.107222,-44.0225,1297,12603.24555
D1,Dores de Campos/MG,-21.107222,-44.0225,38,369.25469
1,Dores de Guanhães/MG,-19.0578968,-42.9292569,338,6577.15509
D1,Dores de Guanhães/MG,-19.0578968,-42.9292569,9,175.13135
1,Dores do Indaiá/MG,-19.4636451,-45.60166,1575,11777.46205
D1,Dores do Indaiá/MG,-19.4636451,-45.60166,18,134.59957
1,Dores do Rio Preto/ES,-20.6893254,-41.84819,848,12483.43883
D1,Dores do Rio Preto/ES,-20.6893254,-41.84819,14,206.09451
1,Dores do Turvo/MG,-20.975278,-43.188889,468,11137.55355
D1,Dores do Turvo/MG,-20.975278,-43.188889,14,333.17468
1,Doresópolis/MG,-20.287222,-45.903056,175,11371.02014
D1,Doresópolis/MG,-20.287222,-45.903056,1,64.97726
1,Dormentes/PE,-8.441163,-40.766168,1485,7715.88902
D1,Dormentes/PE,-8.441163,-40.766168,9,46.76296
1,Douradina/MS,-22.0402812,-54.6118292,631,10473.02905
D1,Douradina/MS,-22.0402812,-54.6118292,14,232.36515
1,Douradina/PR,-23.3847331,-53.2932989,1392,15487.31642
D1,Douradina/PR,-23.3847331,-53.2932989,13,144.63729
1,Dourado/SP,-22.1124638,-48.3151079,1001,11268.71552
D1,Dourado/SP,-22.1124638,-48.3151079,19,213.89170
1,Douradoquara/MG,-18.431062,-47.608269,150,7832.89817
D1,Douradoquara/MG,-18.431062,-47.608269,3,156.65796
1,Dourados/MS,-22.2206145,-54.812208,40338,17692.88127
D1,Dourados/MS,-22.2206145,-54.812208,695,304.83793
1,Doutor Camargo/PR,-23.5575611,-52.2185546,778,12994.82211
D1,Doutor Camargo/PR,-23.5575611,-52.2185546,17,283.94856
1,Doutor Maurício Cardoso/RS,-27.5067264,-54.3626756,449,10251.14155
D1,Doutor Maurício Cardoso/RS,-27.5067264,-54.3626756,16,365.29680
1,Doutor Pedrinho/SC,-26.716408,-49.482726,514,12343.90010
D1,Doutor Pedrinho/SC,-26.716408,-49.482726,6,144.09222
1,Doutor Ricardo/RS,-29.0901549,-51.9894847,391,19877.98678
D1,Doutor Ricardo/RS,-29.0901549,-51.9894847,4,203.35536
1,Doutor Severiano/RN,-6.0948339,-38.3748,882,12478.77759
D1,Doutor Severiano/RN,-6.0948339,-38.3748,22,311.26203
1,Doutor Ulysses/PR,-24.5673325,-49.420076,429,7764.70588
D1,Doutor Ulysses/PR,-24.5673325,-49.420076,8,144.79638
1,Doverlândia/GO,-16.7210996,-52.3138104,981,13674.37970
D1,Doverlândia/GO,-16.7210996,-52.3138104,21,292.72372
1,Dracena/SP,-21.4835523,-51.5334408,5881,12436.82196
